date,Open,High,Low,Close,Volume
"2018-05-22,二",10754.7,10765.81,10689.51,10765.81,17954385000
"2018-05-23,三",10746.82,10746.82,10631.12,10631.12,18649658000
"2018-05-24,四",10632.5,10657.45,10552.35,10564.13,15844932000
"2018-05-25,五",10550.63,10576.81,10435.95,10448.22,17276087000
"2018-05-28,一",10439.65,10536.57,10382.72,10465.54,16966409000
"2018-05-29,二",10446.99,10517.14,10347.94,10349.07,16843614000
"2018-05-30,三",10203.66,10252.15,10097.48,10105.79,19760689000
"2018-05-31,四",10178.96,10295.73,10115.66,10295.73,17468766000
"2018-06-01,五",10247.16,10280.74,10122.99,10169.35,16271888000
"2018-06-04,一",10192.04,10237.6,10148.69,10204.32,14577225000
"2018-06-05,二",10216.63,10385.61,10216.02,10385.61,15278969000
"2018-06-06,三",10375.26,10403.93,10337.71,10365.13,14545674000
"2018-06-07,四",10397.65,10411.56,10308.06,10313.85,14757154000
"2018-06-08,五",10290.63,10291.9,10136.58,10205.52,15172726000
"2018-06-11,一",10191.31,10242.76,10141.27,10175.35,13122535600
"2018-06-12,二",10187.31,10323,10124.98,10315.28,14256824000
"2018-06-13,三",10280.08,10288,10161.39,10161.65,14285165000
"2018-06-14,四",10124.76,10213.79,10054.37,10084.18,13072095100
"2018-06-15,五",10077.43,10108.53,9902.63,9943.13,15996459000
"2018-06-19,二",9775.97,9815.01,9336.7,9414.76,21421268000
"2018-06-20,三",9367.74,9549.53,9310.19,9501.34,16997465000
"2018-06-21,四",9493.5,9573.49,9313.09,9316.68,17333770000
"2018-06-22,五",9247.02,9416.09,9172.3,9409.95,15250980000
"2018-06-25,一",9472.91,9494.44,9320.66,9324.83,15002172000
"2018-06-26,二",9201,9364.51,9175.39,9339.37,16337677000
"2018-06-27,三",9338.01,9378.08,9139.82,9168.66,15897618000
"2018-06-28,四",9130.52,9230.89,9065.2,9071.73,15374412000
"2018-06-29,五",9100.6,9381.03,9078.24,9379.47,18159178000
"2018-07-02,一",9369.24,9393.1,9107.55,9179.8,18135782000
"2018-07-03,二",9184.31,9233.02,8945.42,9221.54,19356884000
"2018-07-04,三",9182.96,9200.27,9008.09,9035.49,17145025000
"2018-07-05,四",9036.12,9096.54,8844.67,8862.18,16373209000
"2018-07-06,五",8873.9,9035.45,8736.36,8911.34,18641855000
"2018-07-09,一",8954.31,9160.62,8954.31,9160.62,16200204000
"2018-07-10,二",9176.29,9213.87,9123.22,9205.43,16388358000
"2018-07-11,三",9024.72,9092.88,8916.98,9023.82,17913063000
"2018-07-12,四",9019.96,9312.37,9019.96,9273.61,21161233000
"2018-07-13,五",9288.47,9344.65,9270.2,9326.97,18706385000
"2018-07-16,一",9322.97,9366.21,9278.07,9317.36,16747123000
"2018-07-17,二",9307.66,9307.66,9175.66,9285.16,16004494000
"2018-07-18,三",9293.2,9335.1,9195.24,9195.24,17525658000
"2018-07-19,四",9214.9,9266.93,9116.45,9148.78,16162034000
"2018-07-20,五",9141.51,9277.95,9055.86,9251.48,16993048000
"2018-07-23,一",9188.47,9314.3,9160.05,9314.3,19980912000
"2018-07-24,二",9316.65,9491.24,9313.17,9465.8,24467264000
"2018-07-25,三",9475.72,9514.94,9436.99,9463.76,21314696000
"2018-07-26,四",9467.56,9488.39,9331.45,9352.25,22913869000
"2018-07-27,五",9344.75,9363.17,9270.35,9295.93,18893476000
"2018-07-30,一",9289.36,9309.44,9139.74,9181.94,17835709000
"2018-07-31,二",9168.83,9216.73,9132.08,9178.78,14799110000
"2018-08-01,三",9205.75,9235.74,9005.37,9005.37,17326453000
"2018-08-02,四",8971.71,8971.71,8613.84,8780.56,21111117000
"2018-08-03,五",8767.56,8807.95,8602.12,8602.12,15284338000
"2018-08-06,一",8582.43,8638.37,8374.4,8422.84,15915233000
"2018-08-07,二",8453.55,8674.03,8379.7,8674.03,17192408000
"2018-08-08,三",8654.55,8665.39,8498.21,8499.22,17169350000
"2018-08-09,四",8475.79,8797.59,8460.43,8752.2,19985719000
"2018-08-10,五",8752.94,8839.29,8742.4,8813.49,15964504000
"2018-08-13,一",8712.12,8855.62,8676.21,8844.86,16095376000
"2018-08-14,二",8832.27,8843.57,8752.76,8784.9,15212969000
"2018-08-15,三",8786.35,8786.35,8567.23,8581.18,16346226000
"2018-08-16,四",8470.91,8628.91,8408,8500.42,15710542000
"2018-08-17,五",8573.57,8597.79,8341.1,8357.04,15274693000
"2018-08-20,一",8355,8414.15,8241.14,8414.15,14983973000
"2018-08-21,二",8419.79,8561.79,8396.58,8549.06,14851388000
"2018-08-22,三",8533.43,8533.43,8440.58,8454.75,13342622000
"2018-08-23,四",8446.98,8543.42,8411.74,8501.39,14012509000
"2018-08-24,五",8480.22,8544.25,8438.08,8484.74,14051986000
"2018-08-27,一",8511.37,8728.56,8511.37,8728.56,17843615000
"2018-08-28,二",8731.64,8758.71,8693.52,8733.75,16257603000
"2018-08-29,三",8716.82,8724.81,8649.73,8678.26,15435207000
"2018-08-30,四",8666.9,8701.04,8543.79,8552.8,15737648000
"2018-08-31,五",8509.27,8536.06,8425.35,8465.47,13890948000
"2018-09-03,一",8440.95,8459.95,8344.93,8455.55,14530902000
"2018-09-04,二",8454.14,8573.2,8420.88,8554.44,16140720000
"2018-09-05,三",8519.57,8536.84,8402.51,8402.51,16631390000
"2018-09-06,四",8369.3,8450.89,8295.48,8324.16,14444945000
"2018-09-07,五",8344.57,8462.39,8270.4,8322.36,16034705000
"2018-09-10,一",8310.46,8311.91,8155.35,8158.49,15541418000
"2018-09-11,二",8155.95,8216.62,8112,8168.1,13595458000
"2018-09-12,三",8162.17,8196.86,8095.01,8111.16,12807609100
"2018-09-13,四",8196.21,8227.2,8038.12,8163.76,15602195000
"2018-09-14,五",8173.56,8180.7,8090.4,8113.88,16001022000
"2018-09-17,一",8068.06,8074.79,7977.44,7999.35,14193735000
"2018-09-18,二",7970.45,8133.9,7958.52,8133.22,16054217000
"2018-09-19,三",8111.24,8313.62,8097.23,8248.12,20052978000
